match_id,country,opposition,runs,wickets,over,rpo,target,inns,result
3446,PAK,SLK,284,4,50.0,5.68,,1,0
3447,SLK,PAK,213,10,44.4,4.76,327,2,0
3447,PAK,SLK,326,5,50.0,6.52,,1,1
3448,SLK,PAK,225,10,48.5,4.6,,1,0
3448,PAK,SLK,226,2,41.1,5.48,226,2,1
3449,WIN,NZL,157,8,27.3,5.7,157,2,1
3449,NZL,WIN,156,10,42.1,3.69,,1,0
3450,SLK,PAK,235,8,49.4,4.73,233,2,1
3450,PAK,SLK,232,10,49.3,4.68,,1,0
3451,WIN,NZL,124,5,21.0,5.9,284,2,0
3451,NZL,WIN,283,4,21.0,13.47,,1,1
3452,WIN,NZL,134,5,33.4,3.98,193,2,0
3452,NZL,WIN,285,6,50.0,5.7,,1,1
3453,WIN,NZL,363,4,50.0,7.26,,1,1
3453,NZL,WIN,160,10,29.5,5.36,364,2,0
3454,ENG,AUS,269,7,50.0,5.38,,1,0
3454,AUS,ENG,270,4,45.4,5.91,270,2,1
3455,ENG,AUS,300,8,50.0,6.0,,1,0
3455,AUS,ENG,301,9,49.3,6.08,301,2,1
3456,NZL,IND,292,7,50.0,5.84,,1,1
3456,IND,NZL,268,10,48.4,5.5,293,2,0
3457,ENG,AUS,243,9,50.0,4.86,,1,0
3457,AUS,ENG,244,3,40.0,6.1,244,2,1
3458,NZL,IND,271,7,42.0,6.45,,1,1
3458,IND,NZL,277,9,41.3,6.67,293,2,0
3461,ENG,AUS,316,8,50.0,6.32,,1,1
3461,AUS,ENG,259,10,47.4,5.43,317,2,0
3463,ENG,AUS,212,10,49.4,4.26,218,2,0
3463,AUS,ENG,217,9,50.0,4.34,,1,1
3465,NZL,IND,280,3,48.1,5.81,279,2,1
3465,IND,NZL,278,5,50.0,5.56,,1,0
3467,NZL,IND,303,5,50.0,6.06,,1,1
3467,IND,NZL,216,10,49.4,4.34,304,2,0
3469,SLK,BAN,180,10,40.0,4.5,,1,1
3469,BAN,SLK,167,10,39.2,4.24,181,2,0
3470,SLK,BAN,289,6,50.0,5.78,,1,1
3470,BAN,SLK,228,10,43.0,5.3,290,2,0
3471,SLK,BAN,246,4,47.3,5.17,241,2,1
3471,BAN,SLK,240,8,50.0,4.8,,1,0
3473,SLK,PAK,296,6,50.0,5.92,,1,1
3473,PAK,SLK,284,10,48.5,5.81,297,2,0
3474,IND,BAN,280,4,49.0,5.71,280,2,1
3474,BAN,IND,279,7,50.0,5.58,,1,0
3475,PAK,AFG,248,8,50.0,4.96,,1,1
3475,AFG,PAK,176,10,47.2,3.71,249,2,0
3476,SLK,IND,265,8,49.2,5.37,265,2,1
3476,IND,SLK,264,9,50.0,5.28,,1,0
